island,대분류,중분류,소분류,Question,Answer
낭도,섬의 개요,기본 정보,이름 유래,낭도라는 이름은 어디서 유래했어?,섬의 모양이 동물인 이리를 닮아서 유래된 이름
낭도,섬의 개요,기본 정보,이름 유래,낭도는 왜 낭도라고 불리게 된 거야?,이리를 한자화하면서 '이리 낭'자를 써서 낭도라 함
낭도,섬의 개요,기본 정보,행정구역,낭도의 행정구역상 주소는 어떻게 돼?,여수시 화정면 낭도리
낭도,섬의 개요,기본 정보,면적,낭도의 전체 면적은 얼마야?,5.303㎢
낭도,섬의 개요,지리적 위치,위치,낭도의 지리적 위치에 대해 설명해 줘.,낭도 서쪽에 고흥군 영남면이 있고 북서쪽에는 적금도 북쪽에는 둔병도와 조발도가 위치해 있음. 북동쪽으로 여수시 화양면이 있고 남쪽에 사도와 추도가 있음
낭도,섬의 개요,지리적 위치,주변 환경,낭도 주변에는 어떤 섬들이 있어?,"인근의 낭도·조발도·적금도로 둘러싸여 있다. 남쪽의 작은섬와 교량으로 연결되어 있다. 부속섬은 목도(나무섬), 납대도, 넙덕여, 문여, 살피도 등이 있음"
낭도,섬의 개요,지리적 위치,주변 환경,낭도에서 가장 가까운 육지는 어디야?,직선거리로 고흥군 영남면이 가장 가까움
낭도,섬의 개요,교통 및 접근성,선박 정보,낭도에 들어가려면 어떻게 해야 해?,과거에는 여객선을 타고 들어갔으나 연륙연도교 개통 이후 승용차나 버스로도 들어갈 수 있음
낭도,섬의 개요,교통 및 접근성,선박 정보,여수에서 낭도로 가는 배편 정보를 알려줘.,여수여객선터미널에서 태평양1호가 오후 2시에 출항해서 4시에 낭도여선착장에 도착한다. 
낭도,섬의 개요,교통 및 접근성,소요 시간,낭도까지 배로 얼마나 걸려?,여객선으로 2시간 정도 걸리는데 자동차로 가면 1시간 정도 걸림
낭도,섬의 개요,교통 및 접근성,섬 내 교통,낭도 내의 주요 교통수단은 뭐야?,"연륙연도교 개통 이후 마을버스를 운행하고 있으나, 아직까지 운항하는 여객선을 이용하는 주민도 있음"
낭도,자연환경,지형 및 지질,지형 특징,낭도의 지형적 특징은 뭐야?,"상산을 중심으로 동쪽은 산지를 이루는 반면, 서쪽은 기복이 낮은 구릉지를 형성하고 있음"
낭도,자연환경,지형 및 지질,최고점,낭도에서 가장 높은 곳은 어디야?,상산 283미터
낭도,자연환경,지형 및 지질,해안선,낭도의 해안선은 어떤 특징을 가지고 있어?,"주로 암석해안을 이루어 곶과 만이 서로 번갈아 나타나는 복잡한 해안선을 나타냄.  낭도 남서쪽 신선대와 쌍용굴 사이(낭도등대 주변)와 서쪽 탑고지 일원에는 주상절리가 발달해 있음. 해안선은 곳곳에 소규모의 만과 곶이 연이어져 있으며, 만입부는 대부분 사빈해안이고, 남쪽 돌출부는 암석해안임"
낭도,자연환경,지형 및 지질,해수욕장,낭도에 있는 대표적인 해수욕장 이름이 뭐야?,낭도해수욕장과 장사금해수욕장
