category,명칭(name),주소,위도,경도,개요,상세정보,우편번호,문의 및 안내,개장일,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부
관광지,안도해변,전라남도 여수시 남면 안도해수욕장길 105,34.49051107,127.8125373,"금오도, 소리도, 횡간도 등과 함께 금오열도를 이루는 안도의 동북쪽 해안에 위치한 해수욕장이다. 금오열도의 다른 섬들과 함께 다도해해상 국립공원에 속하는 안도는 작은 섬이면서도, 바다가 깨끗하고 풍광과 경관이 수려해서 여름철이면 많은 피서객들이 찾는다. 섬 곳곳에는 조용하고 아담한 해안이 펼쳐져 있어서 가족과 함께 피서를 즐기려는 사람들에게 더없이 좋은 휴양지이다. 또한, 섬 주변의 바다는 연중 낚시꾼들의 발길이 끊이지 않는 바다낚시터로도 유명하다.","등산로:
 관광코스안내:
 화장실:있음
 입 장 료:무료
 한국어 안내서비스:",59786,061-659-1215,,연중무휴,상시,가능,N,,
관광지,장등해변,전라남도 여수시 화양면 장수리,34.64520695,127.6095927,"여수시 화양면 장수리의 남쪽 해안에 위치한 장등해수욕장은 여수 시내에서 남쪽으로 약 32km쯤 떨어져 있으며, 마을 뒷산 봉화산 자락이 만들어내는 산등성의 다양한 모양이 어우러진 아름다운 해수욕장이다. 백야도, 상화도, 하화도 등의 섬들이 해변을 감싸고 있다. 
 해수욕장으로 별로 알려지지 않은 곳이라 조용하게 피서를 즐기기에 알맞은 곳이다. 백사장의 모래가 매우 곱고, 부드러우며, 수심이 얕고, 완만한 경사를 이루고 있어 아이들과 함께 해수욕을 즐기기에도 부담이 없다. 해수욕장 주변의 조그만 갯바위에서 낚시를 즐길 수도 있고, 아침이면 섬 사이로 떠오르는 해돋이를 즐기기에도 좋은 곳이다.
 장등해수욕장은 사유지여서 이곳을 이용할 경우 주차료, 텐트설치료 등 토지 사용료를 내야 한다.","화장실:있음
 이용가능시설:샤워장, 탈의장
 주차요금:승용차 3,000원 / 중형 5,000원 / 대형 10,000원<br>
 ※ 취사시5,000원 추가",59780,061-690-2604,,연중무휴,,가능,,,
관광지,방죽포해변,전라남도 여수시 돌산읍 향일암로 804-6,34.63062007,127.7927327,"방죽포해변은 돌산도의 동쪽 해안에 항아리 속처럼 오목하게 자리 잡은 길이 150m, 폭 30m의 작은 해변이다. 이곳은 조선시대에 간척지를 만들기 위해 둑으로 둘러막고 방풍림을 조성하게 되면서 모래가 쌓인 것이 해수욕장이 된 곳이다. 파도가 세지 않고 수심과 경사도가 낮아 가족 단위 이용에 좋다. 또한 해수욕장 주변은 바다낚시의 포인트로 잘 알려져 있는 곳으로 장어, 돔, 노래미 등을 낚을 수 있다. 해변 주변으로는 200여 년생 해송 150여 그루가 울창한 숲을 이루고 있어 그늘에서 휴식을 취할 수 있으며, 대형 주차장과 화장실 등 편의 시설도 잘 갖추어져 있다.","촬영장소:영화 <가문의 영광> 촬영지
 이용가능시설:샤워장, 민박, 해수욕장 관리사무소 등
 화장실:있음",59775,061-659-1019,,연중무휴,상시,가능,,,
관광지,거문도,전라남도 여수시 삼산면 거문길 103,34.02749019,127.3089481,"거문도는 고도, 동도, 서도의 3개 섬으로 이루어져 있어 예전에는 삼도라고도 불리웠다. 고도만을 거문도라 부르기도 한다. 동도와 서도는 거문대교로 연결되어 있다.일찍부터 문장과 학문이 탁월한 인물이 많이 배출된 곳으로 유명하다. 전해오는 이야기에 따르면 거문도 서도의 수월산 아래 바다 속에 길이 30m 가량의 남근형 바위가 있어서 대유학자가 태어났다고 하며 이 바위를 문필암이라 부르게 되었다고 한다. 또 중국 청나라 제독 정여창이 이 섬에 들어와 김유라는 대학자와 필담을 나누다가 그의 문장력에 탄복하여 거문도 라 이름지었다는 일화도 전해온다. 뛰어난 풍경을 간직한 거문도는 고대로부터 중요한 해상교역로이면서 섬 주변이 풍족한 어장이었기 때문에 일찍부터 사람이 거주하였고, 그 흔적들은 역사와 함께 전설이 되어 전해오고 있다. 섬 주변에 솔순이 빠진굴, 멍실여, 용냉이, 신선바위, 아차바위, 신지께, 고두리와 오도리 영감 등과 같은 전설이 담긴 동굴, 바위, 해변 등과 사람 이름의 지명이 있다. 동도에서 자라는 나무의 70%가 동백나무이다. 거문도를 동백섬으로 부르는 이유는 등대로 가는 길이 동백꽃 길이기 때문이다. 서도의 수월산 남쪽 끝에는 1905년 4월 우리나라 최초로 불을 밝힌 거문도등대가 있다. 주변의 해역은 고기떼가 훤히 보일 정도로 물이 맑으며, 특히 성어기에는 각지에서 고기잡이배들이 몰려와 불야성을 이룬다. 거문도와 그 주변 섬들은 갯바위낚시터로 널리 알려져 있으며 여름철이면 해수욕과 함께 낚시를 즐기려는 외지인들도 많다. 크고 작은 여러 부속 섬들은 기묘한 형상을 띄고 있어 바다에 잠긴 금강산처럼 풍광이 빼어나다.","관광코스안내:거문항의 오른쪽 부두에서는 동도와 서도 사이로 저무는 해를 감상하기 좋으며, 고도에 위치한 영국군 묘지에서 산길을 따라 15분 정도 올라간 지점이 해돋이 감상하기에 좋은 곳이다.
 화장실:있음",59790,061-659-1261,,연중무휴,상시,가능,,,
관광지,돌산도,전라남도 여수시 돌산읍일대,34.71489926,127.776943,"1984년 12월 15일에 준공된 돌산대교를 통해 여수반도와 이어져 있다. 돌산도에는 돌산공원, 무술목전적지, 전라남도수산종합관, 방죽포 해수욕장, 향일암, 은적암 등의 명승지와 유적지가 있으며, 섬 전체를 둘러볼 수 있는 해안 일주도로가 있다. 특히 근래에는 관광식당, 민박집 등의 편의시설이 늘어남에 따라 이곳을 찾는 여행객들도 증가하는 추세이다. 돌산도는 자동차를 타고 천천히 한 바퀴 돌아보는 것만으로도 기분이 상쾌해지는 여행지이다. 해안도로를 타고 일주하는 거리는 대략 60㎞ 정도로 1~2시간 소요된다. 돌산대교 아래에는 임진왜란 당시에 활약한 거북선의 실물 모형이 웅장한 자태를 뽐내고 있으며, 인근에는 갖가지 싱싱한 생선회를 즐길 수 있는 식당이 해안을 따라 즐비하게 늘어서 있다. 돌산공원(대교공원)에서 내려다보는 여수시의 전경도 빼놓을 수 없는 구경거리다.","입 장 료:무료 
 화장실:있음
 장애인 편의시설:없음
 외국어 안내서비스:없음",59770,061-690-2038,,연중무휴,상시,가능,,,
관광지,자산공원,전라남도 여수시 수정동 332-55,34.74120424,127.7530917,"자산공원은 오동도 방파제 입구에 위치하고 있다. 여수시와 오동도, 남해바다를 한눈에 바라볼 수 있는 곳이다. 가파른 계단을 올라 정상에 이르면 넓은 평지에 수천 그루의 상록수와 화초들이 식재되어 있다. 1967년 충무공 탄신일을 맞아 제1회 진남제와 함께 제막한 국내 최대 높이 15m의 이순신 장군 동상, 자산각, 충혼탑이 있고 바다에서 밀려오는 해풍과 탁 트인 전망이 마음까지 시원하게 해 준다. 1998년 일출정이 건립되어 시민의 휴식공간으로 사랑받는 곳이다.","입 장 료:무료
 이용가능시설:체육공원 시설 / 파고라 / 벤치 / 잔디광장 / 산책로 등
 화장실:있음",59745,061-659-4627,,연중무휴,상시,가능,,,
관광지,돌산 평사리 고니도래지,전라남도 여수시 돌산읍 안굴전길,34.69852049,127.774177,"굴 양식장으로 이름난 돌산도의 굴전해안은 해마다 찬바람이 불기 시작하는 늦가을이면 고니 떼가 날아든다. 흔히 백조로 불리는 고니는 순백의 우아한 자태와 힘찬 날갯짓이 매우 아름다운 겨울철새로 기러기목 오리과에 속하는 물새이다. 개체수가 많지 않아서 지난 1979년에 전라남도 기념물로 지정되었다. 희귀한 겨울새인 고니는 매년 입동 무렵에 돌산읍 평사리에 찾아와 겨울나기를 한 다음 이듬해 2월 말에서 3월 초순쯤 다시 추운 북쪽 지방으로 떠나기 때문에 겨울에만 고니 떼를 볼 수 있다. 우리나라에 날아드는 고니류는 세 종류가 있는데, 돌산도의 무술목과 굴전리에서 볼 수 있는 것은 대부분 큰고니로 50에서 150여 마리가 찾아오고 있다. 고니도래지가 있는 굴전해안을 포함한 돌산도의 인근 해역은 청정 지역으로 어패류가 풍부한데, 돌산도의 굴전해안은 굴 양식장으로도 유명하다. 현재는 기온이 상승하고 주변의 건축공사 등 환경변화로 이곳을 찾는 고니의 숫자가 급격히 줄고 있다.",입 장 료:무료,59771,061-659-4758,,연중무휴,상시,,N,,
관광지,장군도(수중성),전라남도 여수시 고소1길 58 (중앙동),34.73942918,127.738493,"여수시 중앙동 1번지인 장군도는 여수에서 돌산 방향으로 돌산대교를 건너다 보면 왼쪽으로 보이는 섬이다. 이 장군도는 연산군때의 이량 장군이 축성한 수중성과 관련이 있다. 이량 장군은 1497년(연산군 3년) 전라도 흥양에 일어난 왜변을 다스린 공으로 전라 좌수사로 발탁되었다. 이량 장군은 전라 좌수영에 부임후 왜구의 침범 해로로 이용이 되는 돌산도와 장군도 사이의 해로를 돌을 쌓아 막는 수중제[水中堤]를 쌓았고, 이 수중 제방(방왜축제)을 성의 역할을 한 것이라 하여 수중성이라 불렀다. 현재 장군도와 돌산도를 연결한 수중성은 대부분 파괴되어 정확한 형상은 파악 할 수 없으나, 기록에 따르면, 축대가 수면위로 상당한 높이까지 올라와 마치 성을 쌓은 것 처럼 되어 있다고 전하여 지고 있다. 현재는 간조때를 제외하고는 그 흔적조차 찾아 보기 힘들고, 섬 가장자리로 갈 수록 큰 석재들이 놓여 있는 모습을 찾아 볼 수 있다.
 
 (출처 : 여수 문화관광 홈페이지)",,59737,061-659-4757,,연중무휴,,가능,N,,
관광지,사도,전라남도 여수시 화정면 사도길 8-1,34.59273412,127.5556321,"사도는 바다 한가운데 모래로 쌓은 것 같은 섬, 모래 사(沙)와 호수 호(湖)를 써 사호라 부르다가 행정구역 개편 때 사도라 하였다. 모래가 아름다운 사도는 한때 공룡들의 천국이었다. 사도 일원은 지난 200년 12월 중생대 백악기로 추정되는 공룡발자국 화석이 발견되어 전라남도 지정문화재로 지정된 곳이다. 국내는 물론 세계에 내놓아도 손색이 없는 공룡발자국 화석지로 세계 최장 보행열의 발자국 화석을 보유하고 있다. 또한 중생대 백악기의 퇴적암과 화성암 등을 같은 장소에서 볼 수 있어 다양하고 독특한 자연경관을 접할 수 있다. 여수반도에서 비교적 멀지 않는 곳에 위치해 자연경관이 잘 보존된 블루벨트 지역으로 주목받고 있다.
 
 모래섬 사도에 내리면 가장 먼저 여행자들을 반겨주는 건 선착장 입구 양편에 서 있는 대형 공룡 조형물이다. 사도 입구에서부터 이곳이 공룡과 관련된 곳이라는 것을 알 수 있다. 섬 입구에 위치한 사도 관광센터에서는 공룡발자국 화석과 섬의 풍경을 담은 사진들이 관광객들을 맞이해주고 잠깐에 휴식을 취할 수 있다. 사도와 중도 사이에 회백색의 부드러운 곡선을 그리는 양면해수욕장이 있는데 주민들은 이곳을 ‘섬마켓’이라고 부른다. 상에 오를 반찬이 걱정되는 날엔 빈 바구니를 들고 부담 없이 찾아와 몸을 건강하게 만드는 해조류를 한 아름 거둬 가는 곳이기도 하고 물이 맑고 수심이 얕아 해수욕을 즐기기에 안성맞춤이다.","관광코스안내:사도 바닷길 : 사도해수욕장 → 사도마을 → 중도 → 양면해수욕장 → 거북바위 → 용미암 → 증도 → 중도 → 해안산책길 → 공룡테마공원(2시간 30분)
 입 장 료:무료",59781,061-690-2036,,,,불가,N,N,
관광지,만성리 검은모래해변,전라남도 여수시 만성리길 15-1,34.77715285,127.7447915,"만성리 검은모래해변의 가장 큰 특징은 보기 드문 검은 모래해변이라는 점이다. 시원스러운 경치와 검은 모래 덕분에 여름이면 관광객들이 바닷가를 가득 메운다. 이곳은 모래찜질로 유명한데, 신경통과 각종 부인병에 효험이 있는 것으로 알려져 있다. 특히 오래전 부터 음력 4월 20일은 ‘검은 모래 눈 뜨는 날’이라는 민간풍습이 있어 이날이 되면 전국에서 모래찜질을 하러 사람들이 모여든다.","시설이용료:[샤워장]<br>
 - 대인 2,000원<br>
 - 소인 1,000원
 이용가능시설:샤워장 등
 화장실:있음",59622,061-651-4525,,연중무휴,상시,가능,N,,
